customer_id,first_name,last_name,email,mobile_number,order_id,order_date,delivery_date,order_amount,city,signup_date,rating
1001, Anita ,SHARMA ,anita1@GMAIL.COM,919110053353,ORD-2022-0001,2022-07-18,2022-07-20,3662.377,PUNE,2021-11-22,1.882
1002, KIRAN ,Gupta ,kiran2@GMAIL.COM,0091-9749621470,ORD-2021-0002,2021-01-14,2021-01-21,10669.923,delhi,2018-10-02,4.892
1003, Vikas ,PATEL ,vikas3@yahoo.com,0091-9664130526,ORD-2024-0003,2024-02-05,2024-02-08,23175.878,bangalore,2021-09-29,1.651
1004, POOJA ,SINGH ,pooja4@yahoo.com,919654049436,ORD-2022-0004,2022-07-01,2022-07-07,38255.816,MUMBAI,2020-07-22,4.287
1005, POOJA ,VERMA ,pooja5@yahoo.com,919940992571,ORD-2022-0005,2022-07-03,2022-07-04,91497.485,hyderabad,2021-11-19,2.598
1006, NEHA ,Kumar ,neha6@GMAIL.COM,+91-9811514914,ORD-2023-0006,2023-11-10,2023-11-14,59842.699,CHENNAI,2023-07-30,3.883
1007, Arjun ,GUPTA ,arjun7@yahoo.com,+91-9466825638,ORD-2022-0007,2022-11-28,2022-11-29,50308.318,MUMBAI,2022-01-22,2.496
1008, ROHIT ,Sharma ,rohit8@GMAIL.COM,0091-9997612044,ORD-2022-0008,2022-10-26,2022-10-30,8336.326,hyderabad,2022-09-27,1.661
1009, ARJUN ,VERMA ,arjun9@GMAIL.COM,919215984311,ORD-2022-0009,2022-03-10,2022-03-15,44090.958,mumbai,2020-01-17,1.029
1010, RAHUL ,Singh ,rahul10@GMAIL.COM,+91-9354794895,ORD-2021-0010,2021-05-19,2021-05-20,72473.58,chennai,2018-12-11,2.724
1011, VIKAS ,Verma ,vikas11@yahoo.com,919701642483,ORD-2023-0011,2023-08-15,2023-08-22,86236.417,delhi,2021-07-20,2.773
1012, ARJUN ,Patel ,arjun12@yahoo.com,+91-9897677788,ORD-2021-0012,2021-04-14,2021-04-20,40403.509,pune,2019-09-29,3.786
1013, Arjun ,JOSHI ,arjun13@yahoo.com,919621890096,ORD-2021-0013,2021-11-14,2021-11-16,58625.671,hyderabad,2021-01-05,1.272
1014, NEHA ,VERMA ,neha14@GMAIL.COM,919042672287,ORD-2021-0014,2021-09-03,2021-09-08,31978.8,pune,2020-12-15,2.265
1015, Anita ,Sharma ,anita15@yahoo.com,+91-9107354053,ORD-2023-0015,2023-07-28,2023-08-02,7344.736,CHENNAI,2021-12-19,3.116
1016, Arjun ,Gupta ,arjun16@GMAIL.COM,919114929002,ORD-2021-0016,2021-08-01,2021-08-03,71902.413,delhi,2020-10-25,3.537
1017, Aman ,SHARMA ,aman17@yahoo.com,+91-9140466536,ORD-2021-0017,2021-01-08,2021-01-11,1462.135,MUMBAI,2018-11-01,2.719
1018, Rahul ,GUPTA ,rahul18@yahoo.com,+91-9042836793,ORD-2023-0018,2023-01-17,2023-01-24,56208.41,MUMBAI,2020-08-09,4.526
1019, Rahul ,Kumar ,rahul19@GMAIL.COM,919927781681,ORD-2022-0019,2022-11-12,2022-11-19,11255.515,MUMBAI,2021-09-07,1.892
1020, Neha ,Verma ,neha20@GMAIL.COM,0091-9830353157,ORD-2022-0020,2022-11-04,2022-11-07,53853.465,DELHI,2020-05-23,3.386
1021, POOJA ,Mehta ,pooja21@yahoo.com,919965835850,ORD-2023-0021,2023-06-13,2023-06-18,52232.075,chennai,2021-12-27,4.683
1022, KIRAN ,MEHTA ,kiran22@GMAIL.COM,0091-9332091877,ORD-2021-0022,2021-09-13,2021-09-19,19588.089,DELHI,2020-10-31,2.215
1023, Neha ,VERMA ,neha23@GMAIL.COM,0091-9499277266,ORD-2024-0023,2024-04-02,2024-04-07,96003.284,MUMBAI,2022-05-23,3.691
1024, NEHA ,SINGH ,neha24@GMAIL.COM,+91-9262897676,ORD-2021-0024,2021-10-29,2021-10-30,71975.419,delhi,2021-09-02,4.114
1025, NEHA ,KUMAR ,neha25@GMAIL.COM,+91-9598509918,ORD-2023-0025,2023-11-27,2023-12-01,98795.299,HYDERABAD,2023-09-27,2.784
1026, Rohit ,JOSHI ,rohit26@GMAIL.COM,0091-9901795907,ORD-2023-0026,2023-07-11,2023-07-14,27822.446,mumbai,2021-05-23,2.532
1027, ROHIT ,SINGH ,rohit27@yahoo.com,0091-9582624278,ORD-2021-0027,2021-05-12,2021-05-16,77094.679,BANGALORE,2020-03-11,4.014
1028, VIKAS ,SINGH ,vikas28@yahoo.com,0091-9521454127,ORD-2023-0028,2023-09-27,2023-09-29,16921.951,delhi,2022-12-12,1.336
1029, VIKAS ,Kumar ,vikas29@GMAIL.COM,+91-9279340713,ORD-2023-0029,2023-08-04,2023-08-06,28186.533,BANGALORE,2023-06-04,1.897
1030, ANITA ,Sharma ,anita30@yahoo.com,+91-9901115118,ORD-2021-0030,2021-03-05,2021-03-07,94801.824,mumbai,2020-08-03,4.859
